ScaffoldNickname,Scaffold,Length,newChr,newStart,newEnd,newOrientation,oldChr,oldStart,oldEnd
UnSc349,459,17370,chrUn,15296214,15313583,unknown,chrUn,50731912,50749281
UnSc350,460,17341,chrUn,15314584,15331924,unknown,chrUn,50750282,50767622
UnSc364,474,17336,chrUn,15332925,15350260,unknown,chrUn,51008660,51025995
UnSc401,511,17336,chrUn,15351261,15368596,unknown,chrUn,51688524,51705859
UnSc353,463,17316,chrUn,15369597,15386912,unknown,chrUn,50806090,50823405
UnSc391,501,17160,chrUn,15387913,15405072,unknown,chrUn,51519186,51536345
UnSc362,472,17099,chrUn,15406073,15423171,unknown,chrUn,50972612,50989710
UnSc358,468,17081,chrUn,15424172,15441252,unknown,chrUn,50899409,50916489
UnSc359,469,17055,chrUn,15442253,15459307,unknown,chrUn,50917490,50934544
UnSc360,470,17046,chrUn,15460308,15477353,unknown,chrUn,50935545,50952590
UnSc395,505,17024,chrUn,15478354,15495377,unknown,chrUn,51587326,51604349
UnSc377,487,16965,chrUn,15496378,15513342,unknown,chrUn,51275864,51292828
UnSc363,473,16949,chrUn,15514343,15531291,unknown,chrUn,50990711,51007659
UnSc368,478,16888,chrUn,15532292,15549179,unknown,chrUn,51115257,51132144
UnSc381,491,16797,chrUn,15550180,15566976,unknown,chrUn,51346993,51363789
UnSc469,579,16788,chrUn,15567977,15584764,unknown,chrUn,52804385,52821172
UnSc375,485,16745,chrUn,15585765,15602509,unknown,chrUn,51240817,51257561
UnSc365,475,16729,chrUn,15603510,15620238,unknown,chrUn,51026996,51043724
UnSc403,513,16679,chrUn,15621239,15637917,unknown,chrUn,51723880,51740558
UnSc367,477,16670,chrUn,15638918,15655587,unknown,chrUn,51097587,51114256
UnSc369,479,16579,chrUn,15656588,15673166,unknown,chrUn,51133145,51149723
UnSc433,543,16576,chrUn,15674167,15690742,unknown,chrUn,52217042,52233617
UnSc384,494,16559,chrUn,15691743,15708301,unknown,chrUn,51399458,51416016
UnSc386,496,16511,chrUn,15709302,15725812,unknown,chrUn,51434235,51450745
UnSc382,492,16485,chrUn,15726813,15743297,unknown,chrUn,51364790,51381274
UnSc373,483,16484,chrUn,15744298,15760781,unknown,chrUn,51205987,51222470
UnSc372,482,16459,chrUn,15761782,15778240,unknown,chrUn,51188528,51204986
UnSc374,484,16346,chrUn,15779241,15795586,unknown,chrUn,51223471,51239816
UnSc379,489,16334,chrUn,15796587,15812920,unknown,chrUn,51312334,51328667
UnSc380,490,16325,chrUn,15813921,15830245,unknown,chrUn,51329668,51345992
UnSc376,486,16302,chrUn,15831246,15847547,unknown,chrUn,51258562,51274863
UnSc385,495,16218,chrUn,15848548,15864765,unknown,chrUn,51417017,51433234
UnSc412,522,16208,chrUn,15865766,15881973,unknown,chrUn,51873570,51889777
UnSc383,493,16183,chrUn,15882974,15899156,unknown,chrUn,51382275,51398457
UnSc402,512,16020,chrUn,15900157,15916176,unknown,chrUn,51706860,51722879
UnSc388,498,15992,chrUn,15917177,15933168,unknown,chrUn,51468661,51484652
UnSc404,514,15921,chrUn,15934169,15950089,unknown,chrUn,51741559,51757479
UnSc387,497,15915,chrUn,15951090,15967004,unknown,chrUn,51451746,51467660
UnSc399,509,15905,chrUn,15968005,15983909,unknown,chrUn,51655187,51671091
UnSc509,619,15890,chrUn,15984910,16000799,unknown,chrUn,53378983,53394872
UnSc409,519,15841,chrUn,16001800,16017640,unknown,chrUn,51824068,51839908
UnSc429,539,15820,chrUn,16018641,16034460,unknown,chrUn,52148960,52164779
UnSc389,499,15786,chrUn,16035461,16051246,unknown,chrUn,51485653,51501438
UnSc397,507,15749,chrUn,16052247,16067995,unknown,chrUn,51621922,51637670
UnSc390,500,15747,chrUn,16068996,16084742,unknown,chrUn,51502439,51518185
UnSc392,502,15731,chrUn,16085743,16101473,unknown,chrUn,51537346,51553076
UnSc405,515,15731,chrUn,16102474,16118204,unknown,chrUn,51758480,51774210
UnSc463,573,15716,chrUn,16119205,16134920,unknown,chrUn,52712384,52728099
UnSc393,503,15651,chrUn,16135921,16151571,unknown,chrUn,51554077,51569727
UnSc441,551,15634,chrUn,16152572,16168205,unknown,chrUn,52343790,52359423
UnSc416,526,15632,chrUn,16169206,16184837,unknown,chrUn,51939363,51954994
UnSc394,504,15598,chrUn,16185838,16201435,unknown,chrUn,51570728,51586325
UnSc396,506,15572,chrUn,16202436,16218007,unknown,chrUn,51605350,51620921
UnSc398,508,15516,chrUn,16219008,16234523,unknown,chrUn,51638671,51654186
UnSc410,520,15499,chrUn,16235524,16251022,unknown,chrUn,51840909,51856407
UnSc400,510,15432,chrUn,16252023,16267454,unknown,chrUn,51672092,51687523
UnSc415,525,15430,chrUn,16268455,16283884,unknown,chrUn,51922933,51938362
UnSc425,535,15317,chrUn,16284885,16300201,unknown,chrUn,52084572,52099888
UnSc406,516,15299,chrUn,16301202,16316500,unknown,chrUn,51775211,51790509
UnSc417,527,15296,chrUn,16317501,16332796,unknown,chrUn,51955995,51971290
UnSc422,532,15293,chrUn,16333797,16349089,unknown,chrUn,52036434,52051726
UnSc407,517,15288,chrUn,16350090,16365377,unknown,chrUn,51791510,51806797
UnSc426,536,15275,chrUn,16366378,16381652,unknown,chrUn,52100889,52116163
UnSc408,518,15270,chrUn,16382653,16397922,unknown,chrUn,51807798,51823067
UnSc411,521,15162,chrUn,16398923,16414084,unknown,chrUn,51857408,51872569
UnSc421,531,15119,chrUn,16415085,16430203,unknown,chrUn,52020315,52035433
UnSc508,618,15103,chrUn,16431204,16446306,unknown,chrUn,53362880,53377982
UnSc418,528,15092,chrUn,16447307,16462398,unknown,chrUn,51972291,51987382
UnSc413,523,15084,chrUn,16463399,16478482,unknown,chrUn,51890778,51905861
UnSc414,524,15071,chrUn,16479483,16494553,unknown,chrUn,51906862,51921932
UnSc427,537,15023,chrUn,16495554,16510576,unknown,chrUn,52117164,52132186
UnSc419,529,14968,chrUn,16511577,16526544,unknown,chrUn,51988383,52003350
UnSc420,530,14964,chrUn,16527545,16542508,unknown,chrUn,52004351,52019314
UnSc434,544,14962,chrUn,16543509,16558470,unknown,chrUn,52234618,52249579
UnSc424,534,14934,chrUn,16559471,16574404,unknown,chrUn,52068638,52083571
UnSc423,533,14911,chrUn,16575405,16590315,unknown,chrUn,52052727,52067637
UnSc464,574,14797,chrUn,16591316,16606112,unknown,chrUn,52729100,52743896
UnSc443,553,14792,chrUn,16607113,16621904,unknown,chrUn,52375981,52390772
UnSc428,538,14773,chrUn,16622905,16637677,unknown,chrUn,52133187,52147959
UnSc458,568,14761,chrUn,16638678,16653438,unknown,chrUn,52637851,52652611
UnSc430,540,14750,chrUn,16654439,16669188,unknown,chrUn,52165780,52180529
UnSc432,542,14746,chrUn,16670189,16684934,unknown,chrUn,52201296,52216041
UnSc439,549,14731,chrUn,16685935,16700665,unknown,chrUn,52312740,52327470
UnSc518,628,14684,chrUn,16701666,16716349,unknown,chrUn,53505456,53520139
UnSc435,545,14636,chrUn,16717350,16731985,unknown,chrUn,52250580,52265215
UnSc436,546,14609,chrUn,16732986,16747594,unknown,chrUn,52266216,52280824
UnSc455,565,14584,chrUn,16748595,16763178,unknown,chrUn,52592282,52606865
UnSc442,552,14557,chrUn,16764179,16778735,unknown,chrUn,52360424,52374980
UnSc497,607,14555,chrUn,16779736,16794290,unknown,chrUn,53208298,53222852
UnSc437,547,14544,chrUn,16795291,16809834,unknown,chrUn,52281825,52296368
UnSc467,577,14443,chrUn,16810835,16825277,unknown,chrUn,52774066,52788508
UnSc438,548,14371,chrUn,16826278,16840648,unknown,chrUn,52297369,52311739
UnSc445,555,14361,chrUn,16841649,16856009,unknown,chrUn,52407082,52421442
UnSc448,558,14324,chrUn,16857010,16871333,unknown,chrUn,52483688,52498011
UnSc440,550,14319,chrUn,16872334,16886652,unknown,chrUn,52328471,52342789
UnSc444,554,14309,chrUn,16887653,16901961,unknown,chrUn,52391773,52406081
UnSc627,738,14295,chrUn,16902962,16917256,unknown,chrUn,54920178,54934472
UnSc449,559,14118,chrUn,16918257,16932374,unknown,chrUn,52499012,52513129
UnSc456,566,14023,chrUn,16933375,16947397,unknown,chrUn,52607866,52621888
UnSc446,556,14013,chrUn,16948398,16962410,unknown,chrUn,52422443,52436455
UnSc457,567,13962,chrUn,16963411,16977372,unknown,chrUn,52622889,52636850
UnSc450,560,13947,chrUn,16978373,16992319,unknown,chrUn,52514130,52528076
UnSc492,602,13934,chrUn,16993320,17007253,unknown,chrUn,53136890,53150823
UnSc451,561,13916,chrUn,17008254,17022169,unknown,chrUn,52529077,52542992
UnSc453,563,13888,chrUn,17023170,17037057,unknown,chrUn,52562525,52576412
UnSc468,578,13876,chrUn,17038058,17051933,unknown,chrUn,52789509,52803384
UnSc454,564,13869,chrUn,17052934,17066802,unknown,chrUn,52577413,52591281
UnSc478,588,13732,chrUn,17067803,17081534,unknown,chrUn,52937647,52951378
UnSc459,569,13703,chrUn,17082535,17096237,unknown,chrUn,52653612,52667314
UnSc460,570,13700,chrUn,17097238,17110937,unknown,chrUn,52668315,52682014
UnSc461,571,13690,chrUn,17111938,17125627,unknown,chrUn,52683015,52696704
UnSc474,584,13680,chrUn,17126628,17140307,unknown,chrUn,52879782,52893461
UnSc462,572,13679,chrUn,17141308,17154986,unknown,chrUn,52697705,52711383
UnSc465,575,13586,chrUn,17155987,17169572,unknown,chrUn,52744897,52758482
UnSc540,650,13586,chrUn,17170573,17184158,unknown,chrUn,53802744,53816329
UnSc466,576,13583,chrUn,17185159,17198741,unknown,chrUn,52759483,52773065
UnSc587,698,13552,chrUn,17199742,17213293,unknown,chrUn,54437498,54451049
UnSc477,587,13456,chrUn,17214294,17227749,unknown,chrUn,52923191,52936646
UnSc470,580,13416,chrUn,17228750,17242165,unknown,chrUn,52822173,52835588
UnSc471,581,13404,chrUn,17243166,17256569,unknown,chrUn,52836589,52849992
UnSc557,667,13404,chrUn,17257570,17270973,unknown,chrUn,54028748,54042151
UnSc472,582,13398,chrUn,17271974,17285371,unknown,chrUn,52850993,52864390
UnSc473,583,13391,chrUn,17286372,17299762,unknown,chrUn,52865391,52878781
UnSc668,779,13391,chrUn,17300763,17314153,unknown,chrUn,55389046,55402436
UnSc495,605,13383,chrUn,17315154,17328536,unknown,chrUn,53179954,53193336
UnSc475,585,13368,chrUn,17329537,17342904,unknown,chrUn,52894462,52907829
UnSc476,586,13361,chrUn,17343905,17357265,unknown,chrUn,52908830,52922190
UnSc530,640,13359,chrUn,17358266,17371624,unknown,chrUn,53668723,53682081
UnSc479,589,13339,chrUn,17372625,17385963,unknown,chrUn,52952379,52965717
UnSc483,593,13332,chrUn,17386964,17400295,unknown,chrUn,53009594,53022925
UnSc480,590,13326,chrUn,17401296,17414621,unknown,chrUn,52966718,52980043
UnSc481,591,13301,chrUn,17415622,17428922,unknown,chrUn,52981044,52994344
UnSc554,664,13272,chrUn,17429923,17443194,unknown,chrUn,53988298,54001569
UnSc482,592,13249,chrUn,17444195,17457443,unknown,chrUn,52995345,53008593
UnSc506,616,13222,chrUn,17458444,17471665,unknown,chrUn,53334934,53348155
UnSc484,594,13213,chrUn,17472666,17485878,unknown,chrUn,53023926,53037138
UnSc485,595,13208,chrUn,17486879,17500086,unknown,chrUn,53038139,53051346
UnSc486,596,13196,chrUn,17501087,17514282,unknown,chrUn,53052347,53065542
UnSc489,599,13152,chrUn,17515283,17528434,unknown,chrUn,53094667,53107818
UnSc494,604,13148,chrUn,17529435,17542582,unknown,chrUn,53165806,53178953
UnSc1424,1536,13110,chrUn,17543583,17556692,unknown,chrUn,61362787,61375896
UnSc487,597,13069,chrUn,17557693,17570761,unknown,chrUn,53066543,53079611
UnSc488,598,13055,chrUn,17571762,17584816,unknown,chrUn,53080612,53093666
UnSc490,600,13039,chrUn,17585817,17598855,unknown,chrUn,53108819,53121857
UnSc491,601,13032,chrUn,17599856,17612887,unknown,chrUn,53122858,53135889
UnSc503,613,13000,chrUn,17613888,17626887,unknown,chrUn,53293363,53306362
UnSc493,603,12982,chrUn,17627888,17640869,unknown,chrUn,53151824,53164805
UnSc496,606,12961,chrUn,17641870,17654830,unknown,chrUn,53194337,53207297
UnSc498,608,12939,chrUn,17655831,17668769,unknown,chrUn,53223853,53236791
UnSc499,609,12925,chrUn,17669770,17682694,unknown,chrUn,53237792,53250716
UnSc516,626,12918,chrUn,17683695,17696612,unknown,chrUn,53477959,53490876
UnSc500,610,12897,chrUn,17697613,17710509,unknown,chrUn,53251717,53264613
UnSc501,611,12890,chrUn,17711510,17724399,unknown,chrUn,53265614,53278503
UnSc502,612,12859,chrUn,17725400,17738258,unknown,chrUn,53279504,53292362
UnSc504,614,12797,chrUn,17739259,17752055,unknown,chrUn,53307363,53320159
UnSc660,771,12779,chrUn,17753056,17765834,unknown,chrUn,55297932,55310710
UnSc505,615,12774,chrUn,17766835,17779608,unknown,chrUn,53321160,53333933
UnSc513,623,12768,chrUn,17780609,17793376,unknown,chrUn,53436914,53449681
UnSc507,617,12724,chrUn,17794377,17807100,unknown,chrUn,53349156,53361879
UnSc510,620,12682,chrUn,17808101,17820782,unknown,chrUn,53395873,53408554
UnSc511,621,12681,chrUn,17821783,17834463,unknown,chrUn,53409555,53422235
UnSc512,622,12678,chrUn,17835464,17848141,unknown,chrUn,53423236,53435913
UnSc514,624,12659,chrUn,17849142,17861800,unknown,chrUn,53450682,53463340
UnSc550,660,12643,chrUn,17862801,17875443,unknown,chrUn,53935591,53948233
UnSc515,625,12618,chrUn,17876444,17889061,unknown,chrUn,53464341,53476958
UnSc517,627,12579,chrUn,17890062,17902640,unknown,chrUn,53491877,53504455
UnSc669,780,12545,chrUn,17903641,17916185,unknown,chrUn,55403437,55415981
UnSc519,629,12539,chrUn,17917186,17929724,unknown,chrUn,53521140,53533678
UnSc521,631,12536,chrUn,17930725,17943260,unknown,chrUn,53548211,53560746
UnSc520,630,12532,chrUn,17944261,17956792,unknown,chrUn,53534679,53547210
UnSc571,682,12468,chrUn,17957793,17970260,unknown,chrUn,54236117,54248584
UnSc535,645,12462,chrUn,17971261,17983722,unknown,chrUn,53736477,53748938
UnSc533,643,12438,chrUn,17984723,17997160,unknown,chrUn,53709683,53722120
UnSc522,632,12429,chrUn,17998161,18010589,unknown,chrUn,53561747,53574175
UnSc523,633,12411,chrUn,18011590,18024000,unknown,chrUn,53575176,53587586
UnSc542,652,12410,chrUn,18025001,18037410,unknown,chrUn,53830463,53842872
UnSc524,634,12402,chrUn,18038411,18050812,unknown,chrUn,53588587,53600988
UnSc525,635,12389,chrUn,18051813,18064201,unknown,chrUn,53601989,53614377
UnSc534,644,12356,chrUn,18065202,18077557,unknown,chrUn,53723121,53735476
UnSc526,636,12352,chrUn,18078558,18090909,unknown,chrUn,53615378,53627729
UnSc527,637,12349,chrUn,18091910,18104258,unknown,chrUn,53628730,53641078
UnSc528,638,12327,chrUn,18105259,18117585,unknown,chrUn,53642079,53654405
UnSc529,639,12317,chrUn,18118586,18130902,unknown,chrUn,53655406,53667722
UnSc531,641,12313,chrUn,18131903,18144215,unknown,chrUn,53683082,53695394
UnSc532,642,12288,chrUn,18145216,18157503,unknown,chrUn,53696395,53708682
UnSc559,669,12265,chrUn,18158504,18170768,unknown,chrUn,54055915,54068179
UnSc555,665,12257,chrUn,18171769,18184025,unknown,chrUn,54002570,54014826
UnSc536,646,12227,chrUn,18185026,18197252,unknown,chrUn,53749939,53762165
UnSc537,647,12225,chrUn,18198253,18210477,unknown,chrUn,53763166,53775390
UnSc538,648,12202,chrUn,18211478,18223679,unknown,chrUn,53776391,53788592
UnSc544,654,12188,chrUn,18224680,18236867,unknown,chrUn,53856989,53869176
UnSc574,685,12174,chrUn,18237868,18250041,unknown,chrUn,54275022,54287195
UnSc696,807,12164,chrUn,18251042,18263205,unknown,chrUn,55702795,55714958
UnSc539,649,12151,chrUn,18264206,18276356,unknown,chrUn,53789593,53801743
UnSc549,659,12142,chrUn,18277357,18289498,unknown,chrUn,53922449,53934590
UnSc541,651,12133,chrUn,18290499,18302631,unknown,chrUn,53817330,53829462
UnSc543,653,12116,chrUn,18303632,18315747,unknown,chrUn,53843873,53855988
UnSc762,873,12105,chrUn,18316748,18328852,unknown,chrUn,56427819,56439923
UnSc545,655,12085,chrUn,18329853,18341937,unknown,chrUn,53870177,53882261
UnSc546,656,12070,chrUn,18342938,18355007,unknown,chrUn,53883262,53895331
UnSc547,657,12065,chrUn,18356008,18368072,unknown,chrUn,53896332,53908396
UnSc548,658,12052,chrUn,18369073,18381124,unknown,chrUn,53909397,53921448
UnSc551,661,12028,chrUn,18382125,18394152,unknown,chrUn,53949234,53961261
UnSc552,662,12019,chrUn,18395153,18407171,unknown,chrUn,53962262,53974280
UnSc553,663,12017,chrUn,18408172,18420188,unknown,chrUn,53975281,53987297
UnSc592,703,11964,chrUn,18421189,18433152,unknown,chrUn,54502086,54514049
UnSc573,684,11932,chrUn,18434153,18446084,unknown,chrUn,54262090,54274021
UnSc589,700,11923,chrUn,18447085,18459007,unknown,chrUn,54464297,54476219
UnSc556,666,11921,chrUn,18460008,18471928,unknown,chrUn,54015827,54027747
UnSc558,668,11763,chrUn,18472929,18484691,unknown,chrUn,54043152,54054914
UnSc560,670,11722,chrUn,18485692,18497413,unknown,chrUn,54069180,54080901
UnSc623,734,11698,chrUn,18498414,18510111,unknown,chrUn,54872246,54883943
UnSc581,692,11697,chrUn,18511112,18522808,unknown,chrUn,54363033,54374729
UnSc773,884,11686,chrUn,18523809,18535494,unknown,chrUn,56539298,56550983
UnSc561,671,11683,chrUn,18536495,18548177,unknown,chrUn,54081902,54093584
UnSc575,686,11680,chrUn,18549178,18560857,unknown,chrUn,54288196,54299875
UnSc563,673,11660,chrUn,18561858,18573517,unknown,chrUn,54135189,54146848
UnSc564,674,11639,chrUn,18574518,18586156,unknown,chrUn,54147849,54159487
UnSc565,675,11631,chrUn,18587157,18598787,unknown,chrUn,54160488,54172118
13Sc6,676,11629,chrUn,18599788,18611416,unknown,chrXIII,20071502,20083130
UnSc566,677,11626,chrUn,18612417,18624042,unknown,chrUn,54173119,54184744
UnSc567,678,11623,chrUn,18625043,18636665,unknown,chrUn,54185745,54197367
UnSc568,679,11622,chrUn,18637666,18649287,unknown,chrUn,54198368,54209989
UnSc590,701,11606,chrUn,18650288,18661893,unknown,chrUn,54477220,54488825
UnSc569,680,11578,chrUn,18662894,18674471,unknown,chrUn,54210990,54222567
UnSc576,687,11569,chrUn,18675472,18687040,unknown,chrUn,54300876,54312444
UnSc570,681,11549,chrUn,18688041,18699589,unknown,chrUn,54223568,54235116
UnSc572,683,11505,chrUn,18700590,18712094,unknown,chrUn,54249585,54261089
UnSc582,693,11505,chrUn,18713095,18724599,unknown,chrUn,54375730,54387234
UnSc577,688,11446,chrUn,18725600,18737045,unknown,chrUn,54313445,54324890
UnSc578,689,11438,chrUn,18738046,18749483,unknown,chrUn,54325891,54337328
UnSc585,696,11404,chrUn,18750484,18761887,unknown,chrUn,54412832,54424235
UnSc859,971,11397,chrUn,18762888,18774284,unknown,chrUn,57347275,57358671
UnSc579,690,11360,chrUn,18775285,18786644,unknown,chrUn,54338329,54349688
UnSc580,691,11344,chrUn,18787645,18798988,unknown,chrUn,54350689,54362032
UnSc583,694,11307,chrUn,18799989,18811295,unknown,chrUn,54388235,54399541
UnSc584,695,11290,chrUn,18812296,18823585,unknown,chrUn,54400542,54411831
UnSc586,697,11262,chrUn,18824586,18835847,unknown,chrUn,54425236,54436497
UnSc591,702,11260,chrUn,18836848,18848107,unknown,chrUn,54489826,54501085
UnSc891,1003,11251,chrUn,18849108,18860358,unknown,chrUn,57637753,57649003
UnSc588,699,11247,chrUn,18861359,18872605,unknown,chrUn,54452050,54463296
UnSc698,809,11237,chrUn,18873606,18884842,unknown,chrUn,55760221,55771457
UnSc707,818,11227,chrUn,18885843,18897069,unknown,chrUn,55860316,55871542
UnSc593,704,11145,chrUn,18898070,18909214,unknown,chrUn,54515050,54526194
UnSc595,706,11134,chrUn,18910215,18921348,unknown,chrUn,54539260,54550393
UnSc676,787,11131,chrUn,18922349,18933479,unknown,chrUn,55482339,55493469
UnSc641,752,11086,chrUn,18934480,18945565,unknown,chrUn,55085013,55096098
UnSc684,795,11078,chrUn,18946566,18957643,unknown,chrUn,55571561,55582638
UnSc594,705,11065,chrUn,18958644,18969708,unknown,chrUn,54527195,54538259
UnSc596,707,11016,chrUn,18970709,18981724,unknown,chrUn,54551394,54562409
UnSc597,708,11004,chrUn,18982725,18993728,unknown,chrUn,54563410,54574413
UnSc598,709,11001,chrUn,18994729,19005729,unknown,chrUn,54575414,54586414
UnSc599,710,10985,chrUn,19006730,19017714,unknown,chrUn,54587415,54598399
UnSc624,735,10985,chrUn,19018715,19029699,unknown,chrUn,54884944,54895928
UnSc600,711,10982,chrUn,19030700,19041681,unknown,chrUn,54599400,54610381
UnSc608,719,10976,chrUn,19042682,19053657,unknown,chrUn,54695003,54705978
UnSc601,712,10971,chrUn,19054658,19065628,unknown,chrUn,54611382,54622352
UnSc620,731,10966,chrUn,19066629,19077594,unknown,chrUn,54836822,54847787
UnSc602,713,10962,chrUn,19078595,19089556,unknown,chrUn,54623353,54634314
UnSc603,714,10962,chrUn,19090557,19101518,unknown,chrUn,54635315,54646276
UnSc604,715,10955,chrUn,19102519,19113473,unknown,chrUn,54647277,54658231
UnSc705,816,10948,chrUn,19114474,19125421,unknown,chrUn,55837887,55848834
UnSc605,716,10934,chrUn,19126422,19137355,unknown,chrUn,54659232,54670165
UnSc606,717,10925,chrUn,19138356,19149280,unknown,chrUn,54671166,54682090
UnSc613,724,10918,chrUn,19150281,19161198,unknown,chrUn,54754349,54765266
UnSc632,743,10915,chrUn,19162199,19173113,unknown,chrUn,54981781,54992695
UnSc607,718,10912,chrUn,19174114,19185025,unknown,chrUn,54683091,54694002
UnSc880,992,10906,chrUn,19186026,19196931,unknown,chrUn,57538156,57549061
UnSc609,720,10864,chrUn,19197932,19208795,unknown,chrUn,54706979,54717842
UnSc617,728,10845,chrUn,19209796,19220640,unknown,chrUn,54801561,54812405
UnSc610,721,10844,chrUn,19221641,19232484,unknown,chrUn,54718843,54729686
UnSc611,722,10837,chrUn,19233485,19244321,unknown,chrUn,54730687,54741523
UnSc612,723,10825,chrUn,19245322,19256146,unknown,chrUn,54742524,54753348
UnSc758,869,10815,chrUn,19257147,19267961,unknown,chrUn,56386130,56396944
UnSc730,841,10810,chrUn,19268962,19279771,unknown,chrUn,56101694,56112503
UnSc622,733,10772,chrUn,19280772,19291543,unknown,chrUn,54860474,54871245
UnSc614,725,10771,chrUn,19292544,19303314,unknown,chrUn,54766267,54777037
UnSc615,726,10763,chrUn,19304315,19315077,unknown,chrUn,54778038,54788800
UnSc616,727,10760,chrUn,19316078,19326837,unknown,chrUn,54789801,54800560
UnSc685,796,10740,chrUn,19327838,19338577,unknown,chrUn,55583639,55594378
UnSc618,729,10711,chrUn,19339578,19350288,unknown,chrUn,54813406,54824116
UnSc619,730,10705,chrUn,19351289,19361993,unknown,chrUn,54825117,54835821
UnSc621,732,10686,chrUn,19362994,19373679,unknown,chrUn,54848788,54859473
UnSc630,741,10672,chrUn,19374680,19385351,unknown,chrUn,54958635,54969306
UnSc791,902,10654,chrUn,19386352,19397005,unknown,chrUn,56715000,56725653
UnSc625,736,10632,chrUn,19398006,19408637,unknown,chrUn,54896929,54907560
UnSc700,811,10630,chrUn,19409638,19420267,unknown,chrUn,55783008,55793637
UnSc626,737,10617,chrUn,19421268,19431884,unknown,chrUn,54908561,54919177
UnSc677,788,10615,chrUn,19432885,19443499,unknown,chrUn,55494470,55505084
UnSc628,739,10584,chrUn,19444500,19455083,unknown,chrUn,54935473,54946056
UnSc629,740,10578,chrUn,19456084,19466661,unknown,chrUn,54947057,54957634
UnSc688,799,10524,chrUn,19467662,19478185,unknown,chrUn,55616678,55627201
UnSc638,749,10519,chrUn,19479186,19489704,unknown,chrUn,55050816,55061334
UnSc644,755,10488,chrUn,19490705,19501192,unknown,chrUn,55119703,55130190
UnSc631,742,10474,chrUn,19502193,19512666,unknown,chrUn,54970307,54980780
UnSc633,744,10471,chrUn,19513667,19524137,unknown,chrUn,54993696,55004166
UnSc634,745,10438,chrUn,19525138,19535575,unknown,chrUn,55005167,55015604
UnSc635,746,10434,chrUn,19536576,19547009,unknown,chrUn,55016605,55027038
UnSc636,747,10393,chrUn,19548010,19558402,unknown,chrUn,55028039,55038431
UnSc637,748,10384,chrUn,19559403,19569786,unknown,chrUn,55039432,55049815
UnSc704,815,10361,chrUn,19570787,19581147,unknown,chrUn,55826526,55836886
UnSc639,750,10342,chrUn,19582148,19592489,unknown,chrUn,55062335,55072676
UnSc640,751,10336,chrUn,19593490,19603825,unknown,chrUn,55073677,55084012
UnSc642,753,10304,chrUn,19604826,19615129,unknown,chrUn,55097099,55107402
UnSc643,754,10300,chrUn,19616130,19626429,unknown,chrUn,55108403,55118702
UnSc662,773,10254,chrUn,19627430,19637683,unknown,chrUn,55322720,55332973
UnSc645,756,10247,chrUn,19638684,19648930,unknown,chrUn,55131191,55141437
UnSc646,757,10208,chrUn,19649931,19660138,unknown,chrUn,55142438,55152645
UnSc647,758,10201,chrUn,19661139,19671339,unknown,chrUn,55153646,55163846
UnSc681,792,10195,chrUn,19672340,19682534,unknown,chrUn,55538936,55549130
UnSc648,759,10187,chrUn,19683535,19693721,unknown,chrUn,55164847,55175033
UnSc798,909,10186,chrUn,19694722,19704907,unknown,chrUn,56784133,56794318
UnSc649,760,10150,chrUn,19705908,19716057,unknown,chrUn,55176034,55186183
UnSc650,761,10144,chrUn,19717058,19727201,unknown,chrUn,55187184,55197327
UnSc665,776,10133,chrUn,19728202,19738334,unknown,chrUn,55355937,55366069
UnSc651,762,10128,chrUn,19739335,19749462,unknown,chrUn,55198328,55208455
UnSc849,960,10119,chrUn,19750463,19760581,unknown,chrUn,57255761,57265879
UnSc678,789,10117,chrUn,19761582,19771698,unknown,chrUn,55506085,55516201
UnSc652,763,10105,chrUn,19772699,19782803,unknown,chrUn,55209456,55219560
UnSc653,764,10089,chrUn,19783804,19793892,unknown,chrUn,55220561,55230649
UnSc654,765,10070,chrUn,19794893,19804962,unknown,chrUn,55231650,55241719
UnSc655,766,10062,chrUn,19805963,19816024,unknown,chrUn,55242720,55252781
UnSc656,767,10054,chrUn,19817025,19827078,unknown,chrUn,55253782,55263835
UnSc666,777,10053,chrUn,19828079,19838131,unknown,chrUn,55367070,55377122
UnSc725,836,10045,chrUn,19839132,19849176,unknown,chrUn,56049831,56059875
UnSc657,768,10038,chrUn,19850177,19860214,unknown,chrUn,55264836,55274873
UnSc658,769,10029,chrUn,19861215,19871243,unknown,chrUn,55275874,55285902
UnSc659,770,10029,chrUn,19872244,19882272,unknown,chrUn,55286903,55296931
UnSc661,772,10009,chrUn,19883273,19893281,unknown,chrUn,55311711,55321719
UnSc675,786,9999,chrUn,19894282,19904280,unknown,chrUn,55471340,55481338
UnSc663,774,9987,chrUn,19905281,19915267,unknown,chrUn,55333974,55343960
UnSc680,791,9984,chrUn,19916268,19926251,unknown,chrUn,55527952,55537935
UnSc664,775,9976,chrUn,19927252,19937227,unknown,chrUn,55344961,55354936
UnSc670,781,9961,chrUn,19938228,19948188,unknown,chrUn,55416982,55426942
UnSc713,824,9957,chrUn,19949189,19959145,unknown,chrUn,55924806,55934762
UnSc672,783,9937,chrUn,19960146,19970082,unknown,chrUn,55438784,55448720
UnSc691,802,9935,chrUn,19971083,19981017,unknown,chrUn,55649479,55659413
UnSc667,778,9923,chrUn,19982018,19991940,unknown,chrUn,55378123,55388045
UnSc744,855,9893,chrUn,19992941,20002833,unknown,chrUn,56245498,56255390
UnSc671,782,9841,chrUn,20003834,20013674,unknown,chrUn,55427943,55437783
